m2,nb_rooms,nb_bedrooms,building_floor,apartment_floor,nb_bath,Cellar,balc_patio,Heating,Renovated,Parking,building_height,Ground_floor,Heating_Central,Heating_Individual,Last_floor,district,SalePrice_K
4.2626798770413155,3,1,6,5,1,1,"Terrasse, balcon",Central,0,1,Average,0,1,0,0,20e,6.659293919683638
3.9512437185814275,2,1,8,6,1,1,Terrasse,Individuel,0,0,Average,0,0,1,0,15e,6.371611847231857
4.442651256490317,4,2,8,4,1,1,0,Central,0,0,Average,0,1,0,0,15e,6.721425700790643
4.30406509320417,4,2,6,5,1,1,"Terrasse, balcon",Unknown,0,0,Average,0,0,0,0,15e,6.835184586147301
3.4339872044851463,1,0,3,1,1,0,Balcon,Central,0,0,Small,0,1,0,0,15e,5.958424693029782
3.295836866004329,1,0,10,9,1,0,Balcon,Central,0,0,High,0,1,0,0,15e,5.958424693029782
3.332204510175204,2,1,5,0,1,0,0,"Individuel, électrique",0,0,Average,1,0,1,0,18e,5.598421958998375
3.2188758248682006,2,1,5,2,1,1,0,Unknown,1,0,Average,0,0,0,0,18e,5.8377304471659395
3.6888794541139363,2,1,5,2,1,0,0,"Individuel, au gaz",0,0,Average,0,0,1,0,4e,6.3784261836515865
4.442651256490317,4,3,0,2,1,0,Balcon,Central,0,0,Average,0,1,0,0,14e,7.001245622069476
4.927253685157205,6,4,13,13,1,1,Balcon,Unknown,0,1,Tower,0,0,0,1,15e,7.358830898342354
3.044522437723423,1,0,6,1,1,0,0,Unknown,0,0,Average,0,0,0,0,1e,5.736572297479192
4.23410650459726,3,2,6,4,1,1,0,Individuel,0,0,Average,0,0,1,0,11e,6.709304340258298
4.672828834461906,4,2,9,9,1,0,Terrasse,Central,0,0,Average,0,1,0,1,18e,6.937314081223682
4.204692619390966,3,2,0,3,1,1,0,Unknown,0,0,Average,0,0,0,0,7e,6.906754778648554
3.332204510175204,1,0,8,7,1,1,Balcon,Individuel,0,0,Average,0,0,1,0,15e,5.918893854273146
